Series,Episode_Num,Date
yofukashi_no_uta,1,2022-07-08
yofukashi_no_uta,2,2022-07-15
yofukashi_no_uta,3,2022-07-22
yofukashi_no_uta,4,2022-07-29
yofukashi_no_uta,5,2022-08-05
yofukashi_no_uta,6,2022-08-12
Soredemo Ayumu wa Yosetekuru,7,2022-08-19
Soredemo Ayumu wa Yosetekuru,8,2022-08-26
Soredemo Ayumu wa Yosetekuru,9,2022-09-02
Soredemo Ayumu wa Yosetekuru,10,2022-09-09
Soredemo Ayumu wa Yosetekuru,11,2022-09-16
Soredemo Ayumu wa Yosetekuru,12,2022-08-24
yofukashi_no_uta,7,2022-08-19
Kinsou no Vermeil,8,2022-08-16
Kinsou no Vermeil,9,2022-08-24
Kinsou no Vermeil,10,2022-08-31
Kinsou no Vermeil,11,2022-09-07
Kinsou no Vermeil,12,2022-09-14
yofukashi_no_uta,8,2022-08-25
yofukashi_no_uta,9,2022-09-01
yofukashi_no_uta,10,2022-09-08
yofukashi_no_uta,12,2022-09-15
yofukashi_no_uta,13,2022-09-22